Entry Date,Entry Stop,Fare,Mode,Type,Route/Vehicle #
"Mar 29, 2026 11:22 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 28, 2026 5:26 PM",NRG Station,$0.00,Subway,Single Trip,B1/-
"Mar 28, 2026 3:06 PM",Tasker-Morris,$0.00,Subway,Transfer,B1/-
"Mar 28, 2026 1:12 PM",Snyder,$0.00,Subway,Single Trip,B1/-
"Mar 27, 2026 5:34 PM",Snyder,$0.00,Subway,Transfer,B1/-
"Mar 27, 2026 4:35 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 26, 2026 2:19 PM",W Rittenhouse Square & Locust St,$0.00,Bus,Transfer,17/7466
"Mar 26, 2026 12:27 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 25, 2026 5:51 PM",Walnut-Locust,$0.00,Subway,Transfer,B1/-
"Mar 25, 2026 5:44 PM",Walnut St & 7th St,$0.00,Bus,Transfer,21/3405
"Mar 25, 2026 5:44 PM",Walnut St & 7th St,$0.00,Bus,Single Trip,21/3405
"Mar 25, 2026 4:02 PM",Tasker St & 13th St,$0.00,Bus,Single Trip,29/3561
"Mar 25, 2026 5:44 PM",Walnut St & 7th St,$0.00,Bus,Single Trip,21/3405
"Mar 24, 2026 7:44 PM",NRG Station,$0.00,Subway,Transfer,B1/-
"Mar 24, 2026 5:52 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 24, 2026 4:15 PM",11th St & Walnut St,$0.00,Bus,Transfer,45/3526
"Mar 24, 2026 3:22 PM",Passyunk Av & Dickinson St,$0.00,Bus,Single Trip,45/3388
"Mar 23, 2026 8:20 AM",16th St & Snyder Av,$0.00,Bus,Single Trip,2/3243
"Mar 22, 2026 12:10 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 21, 2026 6:02 PM",Walnut-Locust,$0.00,Subway,Single Trip,B1/-
"Mar 21, 2026 7:30 AM",16th St & Snyder Av,$0.00,Bus,Single Trip,2/8550
"Mar 20, 2026 6:13 PM",Oregon,$0.00,Subway,Transfer,B1/-
"Mar 20, 2026 5:33 PM",16th St & Diamond St,$0.00,Bus,Single Trip,2/8557
"Mar 19, 2026 9:16 AM",15th/City Hall,$0.00,Subway,Transfer,B1/-
"Mar 19, 2026 8:27 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 18, 2026 4:18 PM",Broad St & Dickinson St,$0.00,Bus,Single Trip,999/8603
"Mar 17, 2026 8:04 PM",Walnut-Locust,$0.00,Subway,Single Trip,B1/-
"Mar 17, 2026 5:55 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 16, 2026 7:41 AM",16th St & Snyder Av,$0.00,Bus,Single Trip,2/3087
"Mar 15, 2026 9:25 PM",Lombard-South,$0.00,Subway,Single Trip,B1/-
"Mar 15, 2026 6:47 PM",Broad St & Snyder Av,$0.00,Bus,Single Trip,999/8444
"Mar 15, 2026 1:48 PM",Lombard-South,$0.00,Subway,Single Trip,B1/-
"Mar 15, 2026 10:06 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 14, 2026 9:03 PM",Snyder,$0.00,Subway,Single Trip,B1/-
"Mar 14, 2026 3:32 PM",JFK Blvd & 15th St,$0.00,Bus,Transfer,17/7477
"Mar 14, 2026 3:04 PM",Spring Garden,$0.00,Subway,Single Trip,L1/-
"Mar 14, 2026 12:06 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 13, 2026 6:01 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 12, 2026 7:32 AM",16th St & Carpenter St,$0.00,Bus,Single Trip,2/8510
"Mar 11, 2026 12:11 PM",19th St & Washington Av,$0.00,Bus,Single Trip,17/7483
"Mar 11, 2026 9:15 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 10, 2026 5:44 PM",Walnut-Locust,$0.00,Subway,Transfer,B1/-
"Mar 10, 2026 4:30 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 9, 2026 5:46 PM",Market St & 8th St,$0.00,Bus,Transfer,17/7480
"Mar 9, 2026 4:28 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 8, 2026 3:05 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 8, 2026 10:57 AM",15th St/City Hall,$0.00,Subway,Transfer,L1/-
"Mar 8, 2026 9:53 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
